بخش,متغیر,واحد,Starter,Growth,Enterprise,توضیح
فرض نیروی انسانی,حقوق میانه تحلیلگر امنیت,دلار در سال,129180,129180,129180,مرجع BLS May 2025
فرض نیروی انسانی,ضریب هزینه بارگذاری‌شده,ضریب,1.4793,1.4793,1.4793,بر پایه سهم 67.6 درصدی دستمزد از کل جبران خدمت
فرض نیروی انسانی,هزینه بارگذاری‌شده یک FTE,دلار در سال,191095,191095,191095,شامل حقوق و مزایا؛ بدون دفتر و استخدام
فرض سناریو,ظرفیت معادل آزادشده,FTE,0.15,0.50,1.25,نیازمند اثبات با پایلوت 30روزه
ارزش مشتری,ارزش سالانه ظرفیت آزادشده,دلار,28664,95547,238868,درآمد فروشنده نیست
قیمت پیشنهادی,اشتراک ماهانه,دلار,499,1490,3900,پیش از مالیات و افزونه‌ها
قیمت پیشنهادی,ARR هر مشتری,دلار,5988,17880,46800,اشتراک ماهانه ضربدر 12
قیمت پیشنهادی,راه‌اندازی یک‌باره,دلار,750,2500,7500,استقرار و آموزش اولیه
ROI سال اول,هزینه سال اول,دلار,6738,20380,54300,ARR به علاوه راه‌اندازی
ROI سال اول,منفعت خالص سناریویی,دلار,21926,75167,184568,ارزش ظرفیت منهای هزینه سال اول
ROI سال اول,بازگشت سرمایه,درصد,325,369,340,منفعت خالص تقسیم بر هزینه سال اول
ROI سال اول,دوره بازگشت,ماه,2.82,2.56,2.73,هزینه سال اول تقسیم بر ارزش سالانه ضربدر 12
ماژول Growth,تشخیص و یافته,دلار در ماه,,528,,سهم تخصیصی از بسته Growth
ماژول Growth,پایش چندوندوری,دلار در ماه,,188,,سهم تخصیصی از بسته Growth
ماژول Growth,عملیات کنترل‌شده,دلار در ماه,,377,,سهم تخصیصی از بسته Growth
ماژول Growth,تحلیل هوشمند,دلار در ماه,,188,,سهم تخصیصی از بسته Growth
ماژول Growth,توپولوژی و پورت,دلار در ماه,,112,,سهم تخصیصی از بسته Growth
ماژول Growth,اعلان و کنترل دسترسی,دلار در ماه,,97,,سهم تخصیصی از بسته Growth
